course_id,course_title,enrollment_7th,enrollment_8th,total_enrollment,num_sections,notes
CE807,TV Studio Prod,16,20,36,1,
CE820F,Wood Mfg 2,0,37,37,1,
CE9701,Wood/Robotics,256,35,291,8,*must be 8
CE9772,Wood/Drafting,25,12,37,1,
CE9776,Animation/Mine,71,0,71,2,*must be 2
CE9777,Animation/Draft,43,35,78,2,*must be 2
EL700F,ELD 1,0,8,8,1,
EL701F,ELD 1 Literacy,0,8,8,1,
EL702F,ELD 2,0,8,8,1,
EL703F,ELD 2 Literacy,0,8,8,1,
EN601F,English,1,6,7,1,
EN670F,English 7,38,0,38,2,
EN680F,English 8,0,26,26,2,
EN700F,English 7,411,0,441,12,
EN701F,English 7 H,87,0,86,3,
EN800F,English 8,0,314,341,9,
EN801F,English 8 H,0,100,100,3,
EN9700,Eng 7 Co-Taught,24,0,24,2,
EN9701,Eng 7 Collab,1,0,1,1,
EN9702,Eng 7 PM Only,5,0,5,1,
EN9712,Eng 7/Puente,26,0,26,1,
EN9800,Eng 8 Co-Taught,0,24,24,2,
EN9801,Eng 8 Collab,0,2,2,1,
EN9802,Eng 8 PM Only,0,1,1,1,
EN9812,Eng 8/Puente,0,27,27,1,
HE970P,(E) Health,0,43,43,2,
HE9760,ACC JH Health 1,0,69,69,2,
HE9761,ACC JH Health 2,0,25,25,1,
HE9762,ACC JHHealth NP,0,40,40,2,
HE9892,Health/Multimed,0,163,163,6,
HE9898,Health/Comp Sci,0,169,169,4,
MA601F,Mathematics,1,6,7,1,
MA670F,Math 7A,36,0,36,1,
MA680F,Math 8A,0,29,29,1,
MA700F,Math 7,327,0,357,10,
MA701F,Math 7 H,81,0,81,2,
MA702F,Math 7 H-SP,118,0,118,3,
MA800F,Math 8,0,299,323,9,
MA801F,Math 8 H,0,113,113,3,
MA802F,Math 8 H-SP,0,46,46,2,
MA9700,Math 7 Co-Taught,17,0,17,2,
MA9701,Math 7 Collab,6,0,6,1,
MA9702,Math 7 PM Only,7,0,7,1,
MA9800,Math 8 Co-Taught,0,21,21,2,
MA9801,Math 8 Collab,0,1,1,1,
MA9802,Math 8 PM Only,0,2,2,1,
ND601F,Dly Liv Skl,1,6,7,1,
ND670F,Intensive Lit 1,28,18,46,3,
ND700F,AVID Middle 7,43,0,43,2,
ND710F,Yearbook,11,21,32,1,
ND720F,Stu Government,19,19,38,1,
ND723F,Conflict Resolu,10,16,26,1,
ND800F,AVID Middle 8,0,59,59,2,
ND840F,Dept Teach Aide,0,13,13,1,
ND841F,Office Aide,0,40,40,2,
ND845F,Library Asst 1,0,5,5,1,
PE601F,Adaptive PE,1,3,4,1,
PE700F,PE-7,592,0,592,12,
PE800F,PE-8,0,515,515,10,
SC601F,Science,1,6,7,1,
SC670F,Integ Sci 7,37,0,37,2,
SC680F,Integ Sci 8,0,25,25,2,
SC700F,Integ Sci 7,424,0,445,13,
SC701F,Integ Sci 7 H,101,0,110,3,
SC800F,Integ Sci 8,0,318,337,10,
SC801F,Integ Sci 8 H,0,141,149,4,
SC9700,Int Sci 7 Co-Taught,9,0,9,1,
SC9701,Int Sci 7 Collab,14,0,14,2,
SC9702,Int Sci 7 PM Only,7,0,7,1,
SC9800,Int Sci 8 Co-Taught,0,8,8,1,
SC9801,Int Sci 8 Collab,0,15,15,2,
SC9802,Int Sci 8 PM Only,0,4,4,1,
SS601F,Social Science,1,6,7,1,
SS670F,Wrld Hist/Geo,38,0,38,2,
SS680F,US Hist/Geo,0,26,26,2,
SS700F,Wrld Hist/Geo,344,0,373,10,
SS701F,Wrld Hist/Geo H,63,0,63,2,
SS702F,Wld His/GeoH-SP,118,0,118,3,
SS800F,US Hist/Geo,0,258,284,8,
SS801F,US Hist/Geo H,0,155,155,4,
SS802F,US His/Geo H-SP,0,46,46,2,
SS9700,W. Hist 7 Co-Taught,10,0,10,1,
SS9701,W. Hist 7 Collab,13,0,13,2,
SS9702,W. Hist 7 PM Only,6,0,6,1,
SS9800,US Hist 8 Co-Taught,0,9,9,1,
SS9801,US Hist 8 Collab,0,14,14,2,
SS9802,US Hist 8 PM Only,0,3,3,1,
VP749F,Band 1,74,39,113,4,
VP751F,Percussion 1,24,24,48,2,
VP752F,Modern Band,54,46,100,3,
VP771F,Chorus 1,9,10,19,1,
VP824F,Art 2,0,37,37,1,
VP850F,Band 3,20,36,56,2,
VP9800,Art/Photo,284,20,304,10,
VP9891,Adv Modern Band,0,17,17,1,
WL100F,Spanish 1,0,37,37,1,
WL101F,Span Speakers 1,39,34,73,3,
WL201F,Span Speakers 2,109,7,116,3,
WL302F,Span Speakers 3,0,35,35,1,
CONFERENCE,Conference,0,0,0,0,non-instructional
PROGRESSMON,Progress Monitoring,0,0,0,0,non-instructional; SPED P1
TITLE1,Title 1,0,0,0,0,non-instructional
COMSCHOOLS,Community Schools,0,0,0,0,non-instructional
5CS,5Cs,0,0,0,0,non-instructional
ASBRELEASE,ASB Release,0,0,0,0,non-instructional
REWARDS,REWARDS,0,0,0,0,non-instructional; Wetrosky P6 - TBD
