course_id,course_title,enrollment_7th,enrollment_8th,total_enrollment,num_sections,max_class_size,notes
CE807,TV Studio Prod,16,20,36,1,37,
CE820F,Wood Mfg 2,0,37,37,1,37,
CE9701,Wood/Robotics,265,35,300,8,37,
CE9772,Wood/Drafting,25,12,37,1,37,
CE9776,Animation/Mine,68,0,68,2,37,
CE9777,Animation/Draft,43,34,77,2,37,
EL700F,ELD 1,2,8,10,1,37,
EL701F,ELD 1 Literacy,2,8,10,1,37,
EL702F,ELD 2,0,8,8,1,37,
EL703F,ELD 2 Literacy,0,8,8,1,37,
EN601F,English,1,6,7,0,20,
EN670F,English 7 (SDC),37,0,37,3,20,
EN680F,English 8 (SDC),0,26,26,2,20,
EN700F,English 7,407,0,407,11,37,
EN701F,English 7 H,85,0,85,3,37,
EN800F,English 8,0,313,313,9,37,
EN801F,English 8 H,0,99,99,3,37,
EN9700,Eng 7 Co-Taught,24,0,24,3,0,
EN9712,Eng 7/Puente,26,0,26,1,0,
EN9800,Eng 8 Co-Taught,0,24,24,3,0,
EN9812,Eng 8/Puente,0,27,27,1,37,
MA601F,Mathematics,1,6,7,0,20,
MA670F,Math 7A (SDC),35,0,35,3,20,
MA680F,Math 8A (SDC),0,29,29,3,20,
MA700F,Math 7,320,0,320,10,37,
MA701F,Math 7 H,79,0,79,2,37,
MA702F,Math 7 H-SP,123,0,123,3,37,
MA800F,Math 8,0,297,297,9,37,
MA801F,Math 8 H,0,113,113,3,37,
MA802F,Math 8 H-SP,0,46,46,2,37,
MA9700,Math 7 Co-Taught,17,0,17,2,0,
MA9800,Math 8 Co-Taught,0,21,21,2,0,
ND670F,Intensive Lit 1,27,18,45,4,20,
ND700F,AVID Middle 7,40,0,40,1,37,
ND710F,Yearbook,11,21,32,1,37,
ND720F,Stu Government,18,19,37,1,37,
ND723F,Conflict Resolu,10,16,26,1,37,
ND800F,AVID Middle 8,0,57,57,2,37,
PE601F,Adaptive PE,0,3,3,0,37,
PE700F,PE-7,588,0,588,11,53,
PE800F,PE-8,0,513,513,10,53,
SC670F,Integ Sci 7 (SDC),36,0,36,3,20,
SC680F,Integ Sci 8 (SDC),0,25,25,2,20,
SC700F,Integ Sci 7,422,0,422,13,37,
SC701F,Integ Sci 7 H,99,0,99,3,37,
SC800F,Integ Sci 8,0,317,317,10,37,
SC801F,Integ Sci 8 H,0,140,140,4,37,
SC9700,Int Sci 7 Co-Taught,9,0,9,1,0,
SC9800,Int Sci 8 Co-Taught,0,8,8,1,0,
SS670F,Wrld Hist/Geo (SDC),37,0,37,3,20,
SS680F,US Hist/Geo (SDC),0,26,26,3,20,
SS700F,Wrld Hist/Geo,337,0,337,10,37,
SS701F,Wrld Hist/Geo H,61,0,61,2,37,
SS702F,Wld His/GeoH-SP,123,0,123,3,37,
SS800F,US Hist/Geo,0,257,257,8,37,
SS801F,US Hist/Geo H,0,154,154,4,37,
SS802F,US His/Geo H-SP,0,46,46,2,37,
SS9700,W. Hist 7 Co-Taught,10,0,10,1,0,
SS9800,US Hist 8 Co-Taught,0,9,9,1,0,
VP749F,Band 1,73,38,111,2,999,
VP751F,Percussion 1,25,24,49,1,999,
VP752F,Modern Band,54,45,99,2,999,
VP771F,Chorus 1,9,10,19,0,37,
ART1,Art 1,0,0,0,1,37,
VP824F,Art 2,0,37,37,1,37,
VP850F,Band 3,19,36,55,1,999,
VP9800,Art/Photo,292,20,312,8,37,
VP9891,Adv Modern Band,0,17,17,1,999,
WL100F,Spanish 1,0,36,36,1,37,
WL101F,Span Speakers 1,37,34,71,2,37,
WL201F,Span Speakers 2,115,7,122,3,37,
WL302F,Span Speakers 3,0,35,35,1,37,
PROGRESS,Progress Monitoring,0,0,0,8,0,
CONFERENCE,Conference,0,0,0,41,0,
TITLE1,Title 1,0,0,0,3,0,
COMMUNITY,Community Schools,0,0,0,3,0,
5CS,5CS,0,0,0,3,0,
DLI,DLI Release,0,0,0,1,0,
ASB,ASB Release,0,0,0,1,0,
REWARDS,Rewards,0,0,0,1,0,
HE9892,Health/MultiMedia,0,165,165,6,37,
HE9898,Health/Comp Sci,0,169,169,6,37,
